timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-11-08,64755.99200000,65086.30800000,61115.48800000,61661.77444000,9214.00000000,9261.00000000,8696.00000000,8773.73000000,62107.28924300,62107.28924300
2019-11-07,65635.61648000,65887.50000000,63961.82800000,64771.45360000,9339.16000000,9375.00000000,9101.00000000,9216.20000000,39117.47085300,39117.47085300
2019-11-06,65414.72644000,66350.71548000,65009.07028000,65634.84340000,9307.73000000,9440.91000000,9250.01000000,9339.05000000,37336.17037200,37336.17037200
2019-11-05,66009.78720000,66449.38860000,64487.24128000,65421.26248000,9392.40000000,9454.95000000,9175.76000000,9308.66000000,45935.87366500,45935.87366500
2019-11-04,64632.72088000,66862.14304000,64066.12352000,66016.46380000,9196.46000000,9513.68000000,9115.84000000,9393.35000000,45894.45627700,45894.45627700
2019-11-03,65289.06580000,65800.14196000,63716.83192000,64620.42188000,9289.85000000,9362.57000000,9066.14000000,9194.71000000,27894.37827900,27894.37827900
2019-11-02,64878.27920000,65878.64472000,64560.68388000,65286.74656000,9231.40000000,9373.74000000,9186.21000000,9289.52000000,28923.06082800,28923.06082800
2019-11-01,64241.96408000,65212.81200000,63462.84000000,64879.75508000,9140.86000000,9279.00000000,9030.00000000,9231.61000000,43594.81411500,43594.81411500
2019-10-31,64334.45256000,66098.34000000,62640.56400000,64241.89380000,9154.02000000,9405.00000000,8913.00000000,9140.85000000,54376.02490200,54376.02490200
2019-10-30,66116.75336000,66132.35552000,63259.09828000,64339.37216000,9407.62000000,9409.84000000,9001.01000000,9154.72000000,55241.78643400,55241.78643400
2019-10-29,64688.87460000,67117.40000000,63758.01600000,66116.75336000,9204.45000000,9550.00000000,9072.00000000,9407.62000000,64158.46244600,64158.46244600
2019-10-28,66964.40044000,69591.95880000,64376.48000000,64693.72392000,9528.23000000,9902.10000000,9160.00000000,9205.14000000,80174.21732300,80174.21732300
2019-10-27,64868.44000000,68839.11944000,63774.46152000,66976.34804000,9230.00000000,9794.98000000,9074.34000000,9529.93000000,93833.54160400,93833.54160400
2019-10-26,60833.52464000,72880.36000000,59529.83064000,64868.44000000,8655.88000000,10370.00000000,8470.38000000,9230.00000000,162588.58541300,162588.58541300
2019-10-25,52094.41748000,61839.37200000,51733.10800000,60827.48056000,7412.41000000,8799.00000000,7361.00000000,8655.02000000,90748.21817400,90748.21817400
2019-10-24,52488.40716000,52735.86304000,51571.39372000,52094.41748000,7468.47000000,7503.68000000,7337.99000000,7412.41000000,32714.38326500,32714.38326500
2019-10-23,56364.98168000,56558.46252000,51304.40000000,52475.40536000,8020.06000000,8047.59000000,7300.00000000,7466.62000000,63897.45709800,63897.45709800
2019-10-22,57610.48384000,58318.27372000,56224.00000000,56364.56000000,8197.28000000,8297.99000000,8000.00000000,8020.00000000,34651.82866300,34651.82866300
2019-10-21,57793.70380000,58564.32400000,57222.18684000,57610.41356000,8223.35000000,8333.00000000,8142.03000000,8197.27000000,30448.67953900,30448.67953900
2019-10-20,55871.68636000,58311.31600000,55310.36000000,57793.70380000,7949.87000000,8297.00000000,7870.00000000,8223.35000000,34286.45265400,34286.45265400
2019-10-19,55850.74292000,56913.44680000,55288.71376000,55858.61428000,7946.89000000,8098.10000000,7866.92000000,7948.01000000,26627.88938800,26627.88938800
2019-10-18,56720.94988000,57032.22000000,54930.91828000,55851.58628000,8070.71000000,8115.00000000,7816.01000000,7947.01000000,31353.18141600,31353.18141600
2019-10-17,56189.00056000,57101.93776000,55725.22284000,56720.03624000,7995.02000000,8124.92000000,7929.03000000,8070.58000000,29656.94915800,29656.94915800
